file_url	time_period	data_type
https://www.fec.gov/files/bulk-downloads/2020/weball20.zip	2019–2020	All candidates
https://www.fec.gov/files/bulk-downloads/2018/weball18.zip	2017–2018	All candidates
https://www.fec.gov/files/bulk-downloads/2016/weball16.zip	2015–2016	All candidates
https://www.fec.gov/files/bulk-downloads/2014/weball14.zip	2013–2014	All candidates
https://www.fec.gov/files/bulk-downloads/2012/weball12.zip	2011–2012	All candidates
https://www.fec.gov/files/bulk-downloads/2010/weball10.zip	2009–2010	All candidates
https://www.fec.gov/files/bulk-downloads/2008/weball08.zip	2007-2008	All candidates
https://www.fec.gov/files/bulk-downloads/2006/weball06.zip	2005–2006	All candidates
https://www.fec.gov/files/bulk-downloads/2004/weball04.zip	2003–2004	All candidates
https://www.fec.gov/files/bulk-downloads/2002/weball02.zip	2001-2002	All candidates
https://www.fec.gov/files/bulk-downloads/2000/weball00.zip	1999–2000	All candidates
https://www.fec.gov/files/bulk-downloads/1998/weball98.zip	1997–1998	All candidates
https://www.fec.gov/files/bulk-downloads/1996/weball96.zip	1995–1996	All candidates
https://www.fec.gov/files/bulk-downloads/1994/weball94.zip	1993–1994	All candidates
https://www.fec.gov/files/bulk-downloads/1992/weball92.zip	1991–1992	All candidates
https://www.fec.gov/files/bulk-downloads/1990/weball90.zip	1989–1990	All candidates
https://www.fec.gov/files/bulk-downloads/1988/weball88.zip	1987–1988	All candidates
https://www.fec.gov/files/bulk-downloads/1986/weball86.zip	1985–1986	All candidates
https://www.fec.gov/files/bulk-downloads/1984/weball84.zip	1983–1984	All candidates
https://www.fec.gov/files/bulk-downloads/1982/weball82.zip	1981–1982	All candidates
https://www.fec.gov/files/bulk-downloads/1980/weball80.zip	1979–1980	All candidates
https://www.fec.gov/files/bulk-downloads/2020/cn20.zip	2019–2020	Candidate master
https://www.fec.gov/files/bulk-downloads/2018/cn18.zip	2017–2018	Candidate master
https://www.fec.gov/files/bulk-downloads/2016/cn16.zip	2015–2016	Candidate master
https://www.fec.gov/files/bulk-downloads/2014/cn14.zip	2013–2014	Candidate master
https://www.fec.gov/files/bulk-downloads/2012/cn12.zip	2011–2012	Candidate master
https://www.fec.gov/files/bulk-downloads/2010/cn10.zip	2009–2010	Candidate master
https://www.fec.gov/files/bulk-downloads/2008/cn08.zip	2007-2008	Candidate master
https://www.fec.gov/files/bulk-downloads/2006/cn06.zip	2005–2006	Candidate master
https://www.fec.gov/files/bulk-downloads/2004/cn04.zip	2003–2004	Candidate master
https://www.fec.gov/files/bulk-downloads/2002/cn02.zip	2001-2002	Candidate master
https://www.fec.gov/files/bulk-downloads/2000/cn00.zip	1999–2000	Candidate master
https://www.fec.gov/files/bulk-downloads/1998/cn98.zip	1997–1998	Candidate master
https://www.fec.gov/files/bulk-downloads/1996/cn96.zip	1995–1996	Candidate master
https://www.fec.gov/files/bulk-downloads/1994/cn94.zip	1993–1994	Candidate master
https://www.fec.gov/files/bulk-downloads/1992/cn92.zip	1991–1992	Candidate master
https://www.fec.gov/files/bulk-downloads/1990/cn90.zip	1989–1990	Candidate master
https://www.fec.gov/files/bulk-downloads/1988/cn88.zip	1987–1988	Candidate master
https://www.fec.gov/files/bulk-downloads/1986/cn86.zip	1985–1986	Candidate master
https://www.fec.gov/files/bulk-downloads/1984/cn84.zip	1983–1984	Candidate master
https://www.fec.gov/files/bulk-downloads/1982/cn82.zip	1981–1982	Candidate master
https://www.fec.gov/files/bulk-downloads/1980/cn80.zip	1979–1980	Candidate master
https://www.fec.gov/files/bulk-downloads/2020/ccl20.zip	2019–2020	Candidate-committee linkages
https://www.fec.gov/files/bulk-downloads/2018/ccl18.zip	2017–2018	Candidate-committee linkages
https://www.fec.gov/files/bulk-downloads/2016/ccl16.zip	2015–2016	Candidate-committee linkages
https://www.fec.gov/files/bulk-downloads/2014/ccl14.zip	2013–2014	Candidate-committee linkages
https://www.fec.gov/files/bulk-downloads/2012/ccl12.zip	2011–2012	Candidate-committee linkages
https://www.fec.gov/files/bulk-downloads/2010/ccl10.zip	2009–2010	Candidate-committee linkages
https://www.fec.gov/files/bulk-downloads/2008/ccl08.zip	2007-2008	Candidate-committee linkages
https://www.fec.gov/files/bulk-downloads/2006/ccl06.zip	2005–2006	Candidate-committee linkages
https://www.fec.gov/files/bulk-downloads/2004/ccl04.zip	2003–2004	Candidate-committee linkages
https://www.fec.gov/files/bulk-downloads/2002/ccl02.zip	2001-2002	Candidate-committee linkages
https://www.fec.gov/files/bulk-downloads/2000/ccl00.zip	1999–2000	Candidate-committee linkages
https://www.fec.gov/files/bulk-downloads/2020/webl20.zip	2019–2020	House/Senate current campaigns
https://www.fec.gov/files/bulk-downloads/2018/webl18.zip	2017–2018	House/Senate current campaigns
https://www.fec.gov/files/bulk-downloads/2016/webl16.zip	2015–2016	House/Senate current campaigns
https://www.fec.gov/files/bulk-downloads/2014/webl14.zip	2013–2014	House/Senate current campaigns
https://www.fec.gov/files/bulk-downloads/2012/webl12.zip	2011–2012	House/Senate current campaigns
https://www.fec.gov/files/bulk-downloads/2010/webl10.zip	2009–2010	House/Senate current campaigns
https://www.fec.gov/files/bulk-downloads/2008/webl08.zip	2007-2008	House/Senate current campaigns
https://www.fec.gov/files/bulk-downloads/2006/webl06.zip	2005–2006	House/Senate current campaigns
https://www.fec.gov/files/bulk-downloads/2004/webl04.zip	2003–2004	House/Senate current campaigns
https://www.fec.gov/files/bulk-downloads/2002/webl02.zip	2001-2002	House/Senate current campaigns
https://www.fec.gov/files/bulk-downloads/2000/webl00.zip	1999–2000	House/Senate current campaigns
https://www.fec.gov/files/bulk-downloads/1998/webl98.zip	1997–1998	House/Senate current campaigns
https://www.fec.gov/files/bulk-downloads/1996/webl96.zip	1995–1996	House/Senate current campaigns
https://www.fec.gov/files/bulk-downloads/2020/cm20.zip	2019–2020	Committee master
https://www.fec.gov/files/bulk-downloads/2018/cm18.zip	2017–2018	Committee master
https://www.fec.gov/files/bulk-downloads/2016/cm16.zip	2015–2016	Committee master
https://www.fec.gov/files/bulk-downloads/2014/cm14.zip	2013–2014	Committee master
https://www.fec.gov/files/bulk-downloads/2012/cm12.zip	2011–2012	Committee master
https://www.fec.gov/files/bulk-downloads/2010/cm10.zip	2009–2010	Committee master
https://www.fec.gov/files/bulk-downloads/2008/cm08.zip	2007-2008	Committee master
https://www.fec.gov/files/bulk-downloads/2006/cm06.zip	2005–2006	Committee master
https://www.fec.gov/files/bulk-downloads/2004/cm04.zip	2003–2004	Committee master
https://www.fec.gov/files/bulk-downloads/2002/cm02.zip	2001-2002	Committee master
https://www.fec.gov/files/bulk-downloads/2000/cm00.zip	1999–2000	Committee master
https://www.fec.gov/files/bulk-downloads/1998/cm98.zip	1997–1998	Committee master
https://www.fec.gov/files/bulk-downloads/1996/cm96.zip	1995–1996	Committee master
https://www.fec.gov/files/bulk-downloads/1994/cm94.zip	1993–1994	Committee master
https://www.fec.gov/files/bulk-downloads/1992/cm92.zip	1991–1992	Committee master
https://www.fec.gov/files/bulk-downloads/1990/cm90.zip	1989–1990	Committee master
https://www.fec.gov/files/bulk-downloads/1988/cm88.zip	1987–1988	Committee master
