displayLabel,fileExtension,folder,formattedLastModifiedTime,formattedSize,justFileName,link,mimeType,name,size
BILLS-114hr94ih.xml,xml,False,14-Oct-2016 11:34,3.5 kB,BILLS-114hr94ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr94ih.xml,application/xml,BILLS-114hr94ih.xml,3558
BILLS-114hr87ih.xml,xml,False,14-Oct-2016 11:09,7.4 kB,BILLS-114hr87ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr87ih.xml,application/xml,BILLS-114hr87ih.xml,7578
BILLS-114hr96ih.xml,xml,False,14-Oct-2016 09:40,12.9 kB,BILLS-114hr96ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr96ih.xml,application/xml,BILLS-114hr96ih.xml,13159
BILLS-114hr91ih.xml,xml,False,14-Oct-2016 10:10,13.1 kB,BILLS-114hr91ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr91ih.xml,application/xml,BILLS-114hr91ih.xml,13397
BILLS-114hr101ih.xml,xml,False,14-Oct-2016 11:33,35.8 kB,BILLS-114hr101ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr101ih.xml,application/xml,BILLS-114hr101ih.xml,36664
BILLS-114hr102ih.xml,xml,False,14-Oct-2016 11:07,6.5 kB,BILLS-114hr102ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr102ih.xml,application/xml,BILLS-114hr102ih.xml,6647
BILLS-114hr80ih.xml,xml,False,14-Oct-2016 09:38,13.4 kB,BILLS-114hr80ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr80ih.xml,application/xml,BILLS-114hr80ih.xml,13757
BILLS-114hr103ih.xml,xml,False,14-Oct-2016 11:08,11.3 kB,BILLS-114hr103ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr103ih.xml,application/xml,BILLS-114hr103ih.xml,11529
BILLS-114hr108ih.xml,xml,False,14-Oct-2016 10:11,10.7 kB,BILLS-114hr108ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr108ih.xml,application/xml,BILLS-114hr108ih.xml,10966
BILLS-114hr123ih.xml,xml,False,14-Oct-2016 10:43,2.5 kB,BILLS-114hr123ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr123ih.xml,application/xml,BILLS-114hr123ih.xml,2568
BILLS-114hr122ih.xml,xml,False,14-Oct-2016 09:39,9 kB,BILLS-114hr122ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr122ih.xml,application/xml,BILLS-114hr122ih.xml,9174
BILLS-114hr105ih.xml,xml,False,14-Oct-2016 10:42,12.4 kB,BILLS-114hr105ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr105ih.xml,application/xml,BILLS-114hr105ih.xml,12655
BILLS-114hr132ih.xml,xml,False,14-Oct-2016 11:33,4.7 kB,BILLS-114hr132ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr132ih.xml,application/xml,BILLS-114hr132ih.xml,4774
BILLS-114hr139ih.xml,xml,False,15-Oct-2016 12:02,6.2 kB,BILLS-114hr139ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr139ih.xml,application/xml,BILLS-114hr139ih.xml,6371
BILLS-114hr136ih.xml,xml,False,14-Oct-2016 10:43,2.7 kB,BILLS-114hr136ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr136ih.xml,application/xml,BILLS-114hr136ih.xml,2762
BILLS-114hr129ih.xml,xml,False,14-Oct-2016 09:38,3.3 kB,BILLS-114hr129ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr129ih.xml,application/xml,BILLS-114hr129ih.xml,3422
BILLS-114hr69ih.xml,xml,False,14-Oct-2016 10:11,8.9 kB,BILLS-114hr69ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr69ih.xml,application/xml,BILLS-114hr69ih.xml,9123
BILLS-114hr203ih.xml,xml,False,15-Oct-2016 12:00,34.9 kB,BILLS-114hr203ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr203ih.xml,application/xml,BILLS-114hr203ih.xml,35764
BILLS-114hr97ih.xml,xml,False,14-Oct-2016 11:32,62.7 kB,BILLS-114hr97ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr97ih.xml,application/xml,BILLS-114hr97ih.xml,64180
BILLS-114hr135ih.xml,xml,False,14-Oct-2016 09:14,5.8 kB,BILLS-114hr135ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr135ih.xml,application/xml,BILLS-114hr135ih.xml,5989
BILLS-114hr85ih.xml,xml,False,15-Oct-2016 12:33,54.6 kB,BILLS-114hr85ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr85ih.xml,application/xml,BILLS-114hr85ih.xml,55937
BILLS-114hr124ih.xml,xml,False,15-Oct-2016 12:01,8.6 kB,BILLS-114hr124ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr124ih.xml,application/xml,BILLS-114hr124ih.xml,8802
BILLS-114hr128ih.xml,xml,False,15-Oct-2016 12:01,3.3 kB,BILLS-114hr128ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr128ih.xml,application/xml,BILLS-114hr128ih.xml,3396
BILLS-114hr106ih.xml,xml,False,15-Oct-2016 12:00,9.3 kB,BILLS-114hr106ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr106ih.xml,application/xml,BILLS-114hr106ih.xml,9487
BILLS-114hr146ih.xml,xml,False,14-Oct-2016 09:39,4.8 kB,BILLS-114hr146ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr146ih.xml,application/xml,BILLS-114hr146ih.xml,4944
BILLS-114hr145ih.xml,xml,False,15-Oct-2016 12:33,5.2 kB,BILLS-114hr145ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr145ih.xml,application/xml,BILLS-114hr145ih.xml,5333
BILLS-114hr148ih.xml,xml,False,14-Oct-2016 09:37,6.4 kB,BILLS-114hr148ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr148ih.xml,application/xml,BILLS-114hr148ih.xml,6517
BILLS-114hr147ih.xml,xml,False,14-Oct-2016 09:37,5.6 kB,BILLS-114hr147ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr147ih.xml,application/xml,BILLS-114hr147ih.xml,5736
BILLS-114hr143ih.xml,xml,False,14-Oct-2016 09:12,2.8 kB,BILLS-114hr143ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr143ih.xml,application/xml,BILLS-114hr143ih.xml,2880
BILLS-114hr141ih.xml,xml,False,14-Oct-2016 09:39,7.6 kB,BILLS-114hr141ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr141ih.xml,application/xml,BILLS-114hr141ih.xml,7815
BILLS-114hr89ih.xml,xml,False,14-Oct-2016 11:07,6.5 kB,BILLS-114hr89ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr89ih.xml,application/xml,BILLS-114hr89ih.xml,6701
BILLS-114hr130ih.xml,xml,False,14-Oct-2016 10:43,3.5 kB,BILLS-114hr130ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr130ih.xml,application/xml,BILLS-114hr130ih.xml,3606
BILLS-114hr99ih.xml,xml,False,14-Oct-2016 09:13,4.7 kB,BILLS-114hr99ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr99ih.xml,application/xml,BILLS-114hr99ih.xml,4859
BILLS-114hr127ih.xml,xml,False,14-Oct-2016 11:33,3.1 kB,BILLS-114hr127ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr127ih.xml,application/xml,BILLS-114hr127ih.xml,3216
BILLS-114hr131ih.xml,xml,False,14-Oct-2016 10:42,9.2 kB,BILLS-114hr131ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr131ih.xml,application/xml,BILLS-114hr131ih.xml,9379
BILLS-114hr126ih.xml,xml,False,14-Oct-2016 11:07,5.8 kB,BILLS-114hr126ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr126ih.xml,application/xml,BILLS-114hr126ih.xml,5917
BILLS-114hr98ih.xml,xml,False,14-Oct-2016 10:44,3.2 kB,BILLS-114hr98ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr98ih.xml,application/xml,BILLS-114hr98ih.xml,3266
BILLS-114hr142ih.xml,xml,False,15-Oct-2016 12:32,4.5 kB,BILLS-114hr142ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr142ih.xml,application/xml,BILLS-114hr142ih.xml,4597
BILLS-114hr88ih.xml,xml,False,14-Oct-2016 09:12,2.4 kB,BILLS-114hr88ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr88ih.xml,application/xml,BILLS-114hr88ih.xml,2497
BILLS-114hr144ih.xml,xml,False,14-Oct-2016 09:13,9.9 kB,BILLS-114hr144ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr144ih.xml,application/xml,BILLS-114hr144ih.xml,10186
BILLS-114hr107ih.xml,xml,False,14-Oct-2016 10:18,4.7 kB,BILLS-114hr107ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr107ih.xml,application/xml,BILLS-114hr107ih.xml,4835
BILLS-114hr92ih.xml,xml,False,14-Oct-2016 10:19,3.8 kB,BILLS-114hr92ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr92ih.xml,application/xml,BILLS-114hr92ih.xml,3941
BILLS-114hr95ih.xml,xml,False,14-Oct-2016 09:17,12 kB,BILLS-114hr95ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr95ih.xml,application/xml,BILLS-114hr95ih.xml,12299
